year,title,IMDb ID
2019,Parasite,tt6751668
2018,Shoplifters,tt8075192
2017,The Square,tt4995790
2016,"I, Daniel Blake",tt5168192
2015,Dheepan,tt4082068
2014,Winter Sleep,tt2758880
2013,Blue Is the Warmest Colour,tt2278871
2012,Amour,tt1602620
2011,The Tree of Life,tt0478304
2010,Uncle Boonmee Who Can Recall His Past Lives,tt1588895
2009,The White Ribbon,tt1149362
2008,The Class,tt1068646
2007,"4 Months, 3 Weeks and 2 Days",tt1032846
2006,The Wind that Shakes the Barley,tt0460989
2005,The Child,tt0456396
2004,Fahrenheit 9/11,tt0361596
2003,Elephant,tt0363589
2002,The Pianist,tt0253474
2001,The Son's Room,tt0208990
2000,Dancer in the Dark,tt0168629
1999,Rosetta,tt0200071
1998,Eternity and a Day,tt0156794
1997,Taste of Cherry,tt0120265
1996,Secrets & Lies,tt0117589
1995,Underground,tt0114787
1994,Pulp Fiction,tt0110912
1993,Farewell My Concubine,tt0106332
1992,The Best Intentions,tt0104350
1991,Barton Fink,tt0101410
1990,Wild at Heart,tt0100935
1989,"Sex, Lies, and Videotape",tt0098724
1988,Pelle the Conqueror,tt0093713
1987,Under the Sun of Satan,tt0094011
1986,The Mission,tt0091530
1985,When Father Was Away on Business,tt0089748
1984,"Paris, Texas",tt0087884
1983,The Ballad of Narayama,tt0084390
1982,Missing,tt0084335
1981,Man of Iron,tt0082222
1980,All That Jazz,tt0078754
1979,Apocalypse Now,tt0078788
1978,The Tree of Wooden Clogs,tt0077138
1977,Padre padrone,tt0076517
1976,Taxi Driver,tt0075314
1975,Chronicle of the Years of Fire,tt0072782
1974,The Conversation,tt0071360
1973,Scarecrow,tt0070643
1972,Lulu the Tool,tt0066919
1971,The Go-Between,tt0067144
1970,MASH,tt0066026
1969,If....,tt0063850
1967,Blow-Up,tt0060176
1966,A Man and a Woman,tt0061138
1965,The Knack... and How to Get It,tt0059362
1964,The Umbrellas of Cherbourg,tt0058450
1963,The Leopard,tt0057091
1962,The Given Word,tt0056322
1961,The Long Absence,tt0054426
1960,La dolce vita,tt0053779
1959,Black Orpheus,tt0053146
1958,The Cranes Are Flying,tt0050634
1957,Friendly Persuasion,tt0049233
1956,The Silent World,tt0049518
1955,Marty,tt0048356
1954,Gate of Hell,tt0045935
1953,The Wages of Fear,tt0046268
1952,Othello,tt0045251
1951,Miracle in Milan,tt0043809
1949,The Third Man,tt0041959
1947,The Damned,tt0039615
1946,Brief Encounter,tt0037558
1939,Union Pacific,tt0032080
